 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
1536.0 1536.0  0.0   752.0  24576.0  24531.2   88576.0    56563.9   46080.0 42645.0 7168.0 6144.0    115    0.354   5      0.321    0.676
1536.0 1536.0 688.3   0.0   24576.0   2190.7   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0   3890.0   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0   5802.2   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0   7329.3   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0   8846.2   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  10726.2   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  12272.0   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  13793.8   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  15327.5   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  16841.9   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  18317.2   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  20225.7   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  21802.1   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0 688.3   0.0   24576.0  23360.6   88576.0    56595.9   46080.0 42645.0 7168.0 6144.0    116    0.356   5      0.321    0.678
1536.0 1536.0  0.0   789.5  24576.0   684.3    88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0   2062.3   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0   3621.1   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0   5561.7   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0   7097.9   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0   8917.8   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  10526.1   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  12333.7   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  13871.7   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  15403.3   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  16908.1   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  18751.4   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  20289.2   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  22147.9   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1536.0 1536.0  0.0   789.5  24576.0  23731.4   88576.0    56643.9   46080.0 42645.0 7168.0 6144.0    117    0.359   5      0.321    0.681
1024.0 1024.0 773.1   0.0   24576.0   730.0    88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0   2708.9   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0   4217.4   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0   6152.0   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
